Name_DecRadius,Class_Composition_SMASSII,Mass_kg,Radius_km,SMA_AU,Eccentricity,Inclination_deg,RotPeriod_hr,SciPotential_Score,DeltaV_Score,Total_WeightedScore,Subscr_Mass_Score,Subscr_Radius_Score,Subscr_Ecc_Score,Subscr_Inc_Score,Subscr_SMA_Score,Subscr_RotPer_Score
1 Ceres (r = 469.7 km),C (Primitive carbonaceous) [SMASSII],6.07684732893425e+20,469.7,2.765615652,0.07957632,10.58788658,9.07417,10,0,5.53,10,10,7,4,5,9
4 Vesta (r = 261.4 km),V (Basaltic achondrite) [SMASSII],2.0197348411274e+20,261.385,2.36154128,0.090167645,7.1440606,5.342127632,10,0,4.69,4,6,7,6,8,8
40 Harmonia (r = 55.6 km),S (Silicaceous stony) [SMASSII],1.94658851502981e+18,55.6255,2.267850124,0.046289374,4.255751122,8.91,10,0,4.27,1,2,8,7,9,9
207 Hedda (r = 28.9 km),Ch (Primitive carbonaceous) [SMASSII],1.42138662774707e+17,28.94,2.28406695,0.028484663,3.799517665,30.098,10,0,4.27,1,1,9,7,9,8
551 Ortrud (r = 40.6 km),C (Primitive carbonaceous) [SMASSII],3.91199283603391e+17,40.5565,2.968948508,0.11879151,0.394137917,17.416,10,0,4.23,1,2,7,10,4,9
20 Massalia (r = 67.8 km),S (Silicaceous stony) [SMASSII],3.53109897832522e+18,67.84,2.408407833,0.143763565,0.709255859,8.098,10,0,4.21,1,3,6,9,7,9
586 Thekla (r = 47.6 km),Ch (Primitive carbonaceous) [SMASSII],6.3252625902058e+17,47.6015,3.040349606,0.06546072,1.627925522,13.67,10,0,4.21,1,2,8,9,3,9
535 Montague (r = 39.6 km),C (Primitive carbonaceous) [Tholen],3.65535692720084e+17,39.6495,2.56854741,0.026283019,6.7734542,10.2482,10,0,4.15,1,2,9,6,6,9
203 Pompeja (r = 62.3 km),DCX: (Primitive dark (D-type)) [Tholen],1.41774175420592e+18,62.296,2.738525074,0.061096959,3.172082218,24.052,10,0,4.14,1,2,8,8,5,8
11 Parthenope (r = 71.4 km),Sk (Silicaceous stony) [SMASSII],4.12420781269155e+18,71.4435,2.453167331,0.100477347,4.635746376,13.7204,10,0,4.12,1,3,7,7,7,9
308 Polyxo (r = 64.3 km),T (Primitive transitional) [SMASSII],1.55821240111744e+18,64.289,2.748696377,0.0383797,4.363294009,12.031,10,0,4.12,1,2,8,7,5,10
160 Una (r = 40.6 km),C (Primitive carbonaceous) [SMASSII],3.93039684206864e+17,40.62,2.727665331,0.065609409,3.81880138,11.033,10,0,4.12,1,2,8,7,5,10
124 Alkeste (r = 44.3 km),S (Silicaceous stony) [SMASSII],9.84848010841236e+17,44.324,2.629848027,0.078409915,2.963479384,9.906,10,0,4.09,1,2,7,8,6,9
58 Concordia (r = 53.3 km),Ch (Primitive carbonaceous) [SMASSII],8.85897419655626e+17,53.2585,2.699846364,0.045696809,5.072163969,9.895,10,0,4.07,1,2,8,7,5,9
8 Flora (r = 73.7 km),S (Silicaceous stony) [Tholen],4.53585274636318e+18,73.7455,2.201307163,0.156333713,5.890326395,12.865,10,0,4.05,1,3,6,6,10,10
196 Philomela (r = 72.3 km),S (Silicaceous stony) [SMASSII],4.27662835423171e+18,72.313,3.114848198,0.013635638,7.261088871,8.334,10,0,4.05,1,3,9,6,2,9
442 Eichsfeldia (r = 31.1 km),Ch (Primitive carbonaceous) [SMASSII],1.76153070094742e+17,31.0855,2.345561248,0.070738745,6.068254581,11.871,10,0,4.05,1,1,8,6,8,10
91 Aegina (r = 51.7 km),Ch (Primitive carbonaceous) [SMASSII],8.10426203951578e+17,51.701,2.590333357,0.108182769,2.102439956,6.025,10,0,4.04,1,2,7,8,6,8
554 Peraga (r = 47.9 km),Ch (Primitive carbonaceous) [SMASSII],6.45914211563802e+17,47.935,2.375173895,0.152849824,2.935883674,13.7128,10,0,4.04,1,2,6,8,8,9
30 Urania (r = 46.4 km),Sl (Silicaceous stony) [SMASSII],1.12933759641939e+18,46.3935,2.365630917,0.126729371,2.093698421,13.686,10,0,4.04,1,2,6,8,8,9
270 Anahita (r = 25.7 km),S (Silicaceous stony) [Tholen],1.91978123999316e+17,25.7,2.198336238,0.150776801,2.36735832,15.06,10,0,4.04,1,1,6,8,10,9
83 Beatrix (r = 55.3 km),X (Metallic / enstatite) [SMASSII],2.47279932009949e+18,55.2515,2.431634711,0.083024511,4.966657446,10.111,10,0,4.02,1,2,7,7,7,9
26 Proserpina (r = 47.4 km),S (Silicaceous stony) [SMASSII],1.20444617977914e+18,47.4,2.655142704,0.088630933,3.554525042,13.11,10,0,4.02,1,2,7,7,6,10
447 Valentine (r = 42.6 km),TD (Primitive transitional) [Tholen],4.53745572151257e+17,42.612,2.984274684,0.045793002,4.797916905,9.651,10,0,4.02,1,2,8,7,4,9
10 Hygiea (r = 203.6 km),C (Primitive carbonaceous) [SMASSII],4.94645396484442e+19,203.56,3.147591335,0.108223833,3.832937411,13.828,8,0,4,2,5,7,7,2,9
147 Protogeneia (r = 66.5 km),C (Primitive carbonaceous) [SMASSII],1.72185141659986e+18,66.465,3.13721724,0.022022134,1.932861902,7.8528,8,0,3.99,1,2,9,8,2,9
21 Lutetia (r = 49.0 km),Xk (Metallic / enstatite) [SMASSII],1.7248244258102e+18,49,2.434023678,0.164783277,3.064568685,8.1655,10,0,3.99,1,2,6,8,7,9
52 Europa (r = 152.0 km),C (Primitive carbonaceous) [SMASSII],2.05776570881933e+19,151.959,3.092193381,0.11200166,7.480921969,5.6304,10,0,3.98,2,4,7,6,3,8
16 Psyche (r = 111.0 km),X (Metallic / enstatite) [SMASSII],2.00505176779678e+19,111,2.923314514,0.13434622,3.097291663,4.196,10,0,3.97,2,3,6,8,4,7
113 Amalthea (r = 25.1 km),S (Silicaceous stony) [SMASSII],1.78171164410089e+17,25.0685,2.376479402,0.086165969,5.042451701,9.95,10,0,3.97,1,1,7,7,8,9
261 Prymno (r = 25.0 km),X (Metallic / enstatite) [SMASSII],2.29225686734761e+17,25.0055,2.331033904,0.090406873,3.633978175,8.002,10,0,3.97,1,1,7,7,8,9
19 Fortuna (r = 100.0 km),Ch (Primitive carbonaceous) [SMASSII],5.86430628670095e+18,100,2.442063444,0.158036184,1.573309761,7.4432,8,0,3.96,1,3,6,9,7,8
51 Nemausa (r = 69.1 km),Ch (Primitive carbonaceous) [SMASSII],1.93314398010004e+18,69.0795,2.365547904,0.065927226,9.972945325,7.783,10,0,3.96,1,3,8,4,8,9
27 Euterpe (r = 48.0 km),S (Silicaceous stony) [SMASSII],1.25076605308489e+18,48,2.347173046,0.171563731,1.583323523,10.4082,8,0,3.96,1,2,6,9,8,9
569 Misa (r = 36.5 km),Cg (Primitive carbonaceous) [SMASSII],2.8457880193474e+17,36.475,2.659432718,0.178813911,1.287765648,11.595,10,0,3.96,1,2,5,9,6,10
184 Dejopeja (r = 31.2 km),X (Metallic / enstatite) [SMASSII],4.47046075000572e+17,31.2415,3.190652642,0.058923487,1.129909202,6.4416,10,0,3.96,1,1,8,9,1,8
64 Angelina (r = 29.1 km),Xe (Metallic / enstatite) [SMASSII],3.62989059302797e+17,29.146,2.680924509,0.126549921,1.305823278,8.752,10,0,3.96,1,1,6,9,6,9
48 Doris (r = 108.2 km),Ch (Primitive carbonaceous) [SMASSII],7.43597405187208e+18,108.2365,3.112870762,0.066263528,6.557769141,11.89,10,0,3.95,1,3,8,6,2,10
230 Athamantis (r = 55.7 km),Sl (Silicaceous stony) [SMASSII],1.95084344749292e+18,55.666,2.382363567,0.061101253,9.454642103,24.0055,10,0,3.93,1,2,8,5,8,8
111 Ate (r = 63.2 km),Ch (Primitive carbonaceous) [SMASSII],1.47839513618475e+18,63.172,2.592676262,0.103490448,4.93242622,22.072,10,0,3.92,1,2,7,7,6,8
514 Armida (r = 60.0 km),XC (Metallic / enstatite) [Tholen],3.17409373887885e+18,60.0465,3.047209405,0.03680491,3.880789249,21.851,10,0,3.92,1,2,8,7,3,8
206 Hersilia (r = 56.5 km),C (Primitive carbonaceous) [SMASSII],1.05769874352024e+18,56.5,2.74199902,0.040829469,3.780685768,11.122,8,0,3.92,1,2,8,7,5,10
