rank,a1,a2,a3,dv,science,score,arch,duration,dv_launch,dv_flyby,dv_A1_arrive,dv_A1_leave,dv_A2_arrive,dv_A2_leave,dv_A3_arrive,date_launch,date_flyby,date_arrive_A1,date_leave_A1,date_arrive_A2,date_leave_A2,date_arrive_A3
1,MASSALIA,PSYCHE,THEMIS,10.7319,20.236,10.0544,moon,8.0145,0.4427,1.7025,3.8692,0.9131,1.2089,1.1552,1.4404,2034 JAN 24 11:07:50,2034 FEB 03 11:07:49,2035 JUL 10 07:04:25,2035 OCT 09 14:34:25,2039 JUL 06 11:15:49,2039 OCT 19 05:50:52,2042 JAN 29 18:03:12
2,VESTA,PSYCHE,CERES,15.1028,21.8205,10.2565,mars,10.3956,4.9552,0.0,2.7332,2.1922,0.8519,1.1046,3.2656,2027 MAY 27 23:02:50,2028 NOV 04 17:39:52,2030 MAY 02 20:55:01,2030 NOV 06 07:03:39,2034 APR 09 05:09:57,2034 DEC 17 06:11:22,2037 OCT 18 23:08:16
3,VESTA,CERES,LYDIA,14.1368,21.2455,10.3692,mars,11.413,3.1796,0.0,3.3011,1.8233,1.7872,1.2878,2.7578,2028 NOV 17 21:10:49,2029 AUG 18 15:24:37,2031 JUN 13 15:00:07,2031 SEP 12 22:30:10,2035 JUN 29 10:54:34,2036 JUN 28 16:52:39,2040 APR 17 11:39:21
4,VESTA,LYDIA,CERES,14.1901,21.2455,10.3852,mars,8.7933,4.9449,0.0,2.7559,1.7674,1.7963,0.4604,2.4652,2027 MAY 26 18:30:59,2028 NOV 02 10:11:57,2030 APR 17 09:29:05,2030 JUL 17 16:59:05,2034 JUL 21 02:33:44,2034 OCT 20 10:03:53,2036 MAR 11 12:50:08
5,AEGINA,BEATRIX,VESTA,10.7651,19.773,10.3884,mars,7.5339,2.9199,0.0,2.8911,1.0653,1.0991,1.9312,0.8585,2033 APR 09 22:40:27,2034 JAN 07 16:14:55,2035 MAR 30 08:37:40,2035 JUN 29 16:07:40,2038 MAY 21 13:17:50,2039 FEB 16 15:06:06,2040 OCT 21 16:48:22
6,THEMIS,PSYCHE,VESTA,14.6949,21.4295,10.4078,mars,10.0233,4.423,0.8301,2.6114,0.9333,1.5346,0.755,3.6074,2035 JUL 03 17:21:05,2036 MAY 26 09:14:15,2038 FEB 05 00:22:36,2039 FEB 05 06:22:36,2042 MAR 06 08:49:01,2042 JUN 05 16:19:01,2045 JUL 11 17:42:09
7,PSYCHE,VESTA,CERES,15.6631,21.8205,10.4246,moon,7.1954,0.4116,1.8407,5.5508,2.6493,1.9768,1.7083,1.5257,2028 JAN 02 23:24:09,2028 JAN 12 23:24:09,2029 JUL 27 15:55:38,2029 OCT 26 23:25:38,2031 FEB 12 13:55:40,2031 MAY 29 06:57:55,2035 MAR 15 02:11:26
8,PSYCHE,ANTIOPE,VESTA,13.4905,20.869,10.4388,moon,8.6006,0.4546,2.4333,4.3567,2.8181,0.2305,1.1119,2.0853,2035 SEP 05 10:16:38,2035 SEP 15 10:16:38,2037 JAN 12 03:27:36,2037 OCT 10 06:18:46,2040 NOV 20 02:22:11,2041 FEB 19 09:52:48,2044 APR 11 18:51:26
9,LYDIA,CERES,VESTA,14.5676,21.2455,10.4984,mars,10.6519,3.5632,0.6016,3.0031,1.736,1.5208,2.2054,1.9375,2035 JUN 26 13:37:13,2035 NOV 22 07:01:40,2037 MAY 28 07:46:14,2038 MAY 28 13:46:08,2041 JAN 30 12:10:17,2042 JAN 19 03:28:58,2046 FEB 19 03:46:31
10,PSYCHE,PARTHENOPE,CERES,13.1536,20.6205,10.5117,mars,9.3301,3.5869,0.0,2.9328,1.0326,1.7846,1.1148,2.7019,2035 JUN 21 12:56:32,2035 NOV 19 07:30:01,2037 APR 15 13:39:18,2037 JUL 15 21:09:20,2040 MAY 19 06:13:54,2041 MAY 19 12:13:47,2044 OCT 19 08:29:38
11,MASSALIA,PSYCHE,CERES,13.1746,20.627,10.5135,moon,8.2914,0.4428,1.6999,3.8703,0.9423,1.212,1.7187,3.2886,2034 JAN 24 11:46:11,2034 FEB 03 11:46:11,2035 JUL 11 00:27:00,2035 OCT 10 07:57:00,2039 JUN 01 00:43:04,2039 AUG 31 08:13:04,2042 MAY 10 22:32:05
12,PERAGA,MASSALIA,PSYCHE,10.3733,19.4225,10.5162,moon,9.6363,0.4561,1.601,3.9328,0.9391,1.4034,0.9664,1.0745,2029 DEC 11 13:36:44,2029 DEC 21 13:36:44,2031 JUN 14 04:14:28,2031 NOV 02 21:08:09,2034 JUN 13 11:21:44,2035 JUN 13 17:21:44,2039 AUG 01 05:04:11
13,MASSALIA,PSYCHE,CONCORDIA,10.0899,19.229,10.5667,moon,7.9274,0.4426,1.7026,3.8691,0.913,1.2089,1.1578,0.7959,2034 JAN 24 11:05:22,2034 FEB 03 11:05:22,2035 JUL 10 06:05:52,2035 OCT 09 13:35:57,2039 JUL 06 11:56:10,2040 APR 27 09:41:42,2041 DEC 28 22:23:04
14,MASSALIA,PSYCHE,VIBILIA,11.4798,19.7665,10.6074,moon,9.366,0.4428,1.7001,3.8702,0.9406,1.2101,1.4346,1.8814,2034 JAN 24 11:42:22,2034 FEB 03 11:42:22,2035 JUL 10 22:59:40,2035 OCT 10 06:29:40,2039 JUN 03 06:25:25,2039 SEP 02 13:55:25,2043 JUN 07 09:45:25
15,VIRGINIA,PSYCHE,PARTHENOPE,9.5102,18.9205,10.6087,moon,9.4568,0.4519,2.5138,2.8563,1.3996,0.4475,0.7366,1.1045,2030 SEP 04 02:17:46,2030 SEP 14 02:17:46,2032 FEB 16 05:38:36,2032 MAY 17 13:08:36,2036 MAR 24 01:42:06,2036 AUG 03 17:50:46,2040 FEB 18 04:49:39
16,MASSALIA,PSYCHE,ANTIOPE,11.2946,19.6755,10.6155,moon,9.8251,0.4426,1.7026,3.8691,0.913,1.2089,2.6866,0.4718,2034 JAN 24 11:05:15,2034 FEB 03 11:05:15,2035 JUL 10 06:00:59,2035 OCT 09 13:30:59,2039 JUL 06 12:10:00,2040 JAN 01 01:03:00,2043 NOV 22 02:17:58
17,PALES,MASSALIA,PSYCHE,11.8236,19.8865,10.6265,mars,12.3816,3.8851,0.0,3.2492,1.3647,1.305,0.8945,1.1251,2027 MAR 07 10:50:08,2028 JUN 04 15:16:11,2030 NOV 10 13:34:23,2031 NOV 10 19:33:58,2035 MAR 25 19:51:06,2035 JUL 06 09:53:17,2039 JUL 24 20:14:14
18,MASSALIA,PSYCHE,AEGINA,10.9382,19.4825,10.6437,moon,11.4278,0.4426,1.7026,3.8691,0.9131,1.2088,0.5855,2.2164,2034 JAN 24 11:05:20,2034 FEB 03 11:05:20,2035 JUL 10 06:03:21,2035 OCT 09 13:33:21,2039 JUL 06 10:16:25,2040 JUN 29 05:24:03,2045 JUN 29 11:24:03
19,PSYCHE,MASSALIA,CERES,13.6334,20.627,10.6511,mars,11.1853,3.4367,0.0,3.4103,0.71,1.502,1.0448,3.5297,2031 APR 23 09:09:17,2032 APR 21 08:34:41,2034 MAY 18 11:55:42,2035 JAN 01 04:02:16,2038 NOV 14 13:57:08,2039 FEB 13 21:27:09,2042 JUN 29 19:50:04
20,MASSALIA,FORTUNA,PSYCHE,11.606,19.758,10.6512,moon,6.9058,0.4147,1.3107,5.0889,1.5939,0.8348,0.9711,1.3918,2032 OCT 07 14:45:34,2032 OCT 17 14:45:34,2033 NOV 17 11:07:18,2034 NOV 17 17:07:16,2037 NOV 03 12:15:33,2038 FEB 02 19:45:38,2039 SEP 03 23:04:56
21,FORTUNA,PARTHENOPE,PSYCHE,11.635,19.7515,10.6645,moon,7.8113,0.4133,1.9174,3.9946,0.9767,2.2819,0.9237,1.1274,2032 SEP 10 10:24:59,2032 SEP 20 10:24:59,2034 FEB 02 05:44:14,2034 DEC 23 02:00:19,2037 MAR 14 22:49:24,2037 JUN 14 06:19:24,2040 JUL 03 12:29:33
22,PSYCHE,NEPHELE,VESTA,13.138,20.332,10.709,mars,10.4255,3.4379,0.0,3.4163,2.3165,0.6178,1.7756,1.5739,2031 APR 23 07:27:08,2032 APR 21 11:00:45,2034 MAY 09 13:06:51,2034 AUG 08 20:36:51,2039 JUL 05 03:41:57,2040 JUL 04 09:41:55,2041 SEP 25 05:09:10
23,PSYCHE,FORTUNA,MASSALIA,12.0585,19.758,10.7869,moon,5.8013,0.4477,2.4822,4.3244,0.9435,1.5844,1.2783,0.998,2035 AUG 11 14:53:38,2035 AUG 21 14:53:38,2036 DEC 19 10:43:52,2037 MAR 20 18:13:52,2039 APR 18 20:26:08,2039 JUL 19 03:56:08,2041 MAY 30 13:16:48
24,HERTHA,AMPHITRITE,PALES,12.0577,19.702,10.8259,moon,9.5287,0.4665,2.05,3.2825,3.0755,0.5814,2.4229,0.179,2027 AUG 07 00:04:31,2027 AUG 17 00:04:31,2029 MAR 05 20:08:24,2029 JUN 05 03:38:25,2031 FEB 15 20:33:30,2032 FEB 16 02:32:26,2037 FEB 15 08:30:03
25,THEMIS,PSYCHE,PARTHENOPE,13.2998,20.2295,10.8293,mars,11.2061,3.4003,0.0,3.5984,0.8972,2.4807,1.0779,1.8454,2029 MAR 10 01:30:53,2030 APR 10 01:20:07,2031 DEC 04 06:14:35,2032 OCT 14 17:55:06,2037 MAY 07 05:42:42,2037 AUG 06 13:12:45,2040 MAY 24 02:14:23
26,MASSALIA,CONCORDIA,PSYCHE,10.9882,19.229,10.8362,moon,8.7616,0.4413,1.7329,3.8636,1.7926,1.2092,1.5011,0.4475,2034 JAN 24 04:14:15,2034 FEB 03 04:14:15,2035 JUL 03 09:02:01,2035 OCT 02 16:32:01,2038 OCT 16 11:25:36,2039 OCT 16 17:25:36,2042 OCT 29 08:45:18
27,HERTHA,THEMIS,MASSALIA,12.8583,20.0015,10.8565,moon,8.9516,0.4165,1.8402,3.1503,0.9187,3.3915,2.1275,1.0136,2031 AUG 22 08:29:15,2031 SEP 01 08:29:15,2033 FEB 28 08:05:42,2033 OCT 21 12:26:17,2036 MAY 25 05:09:34,2037 MAY 25 11:09:31,2040 AUG 03 22:18:08
28,MASSALIA,PSYCHE,GERMANIA,11.3293,19.322,10.8734,moon,9.4287,0.4428,1.6991,3.8707,0.9493,1.2222,1.104,2.0411,2034 JAN 24 11:58:01,2034 FEB 03 11:58:01,2035 JUL 11 05:38:03,2035 OCT 10 13:08:03,2039 MAY 22 11:55:59,2039 AUG 21 19:25:59,2043 JUN 30 08:04:36
29,VESTA,ANTIOPE,PSYCHE,14.9789,20.869,10.8854,mars,9.5853,3.1358,0.0,3.6129,2.0405,3.7528,0.9649,1.472,2028 NOV 19 08:20:27,2029 AUG 24 02:37:57,2031 OCT 24 11:55:28,2032 OCT 23 17:55:27,2036 JAN 06 02:57:42,2036 SEP 18 16:19:33,2038 JUN 21 08:44:14
30,PSYCHE,KLYMENE,VESTA,14.4349,20.6265,10.8919,mars,12.7603,3.0054,0.0,4.1557,2.1572,1.2231,2.3522,1.5412,2028 DEC 10 08:42:07,2029 JUL 19 00:08:48,2031 FEB 03 16:56:34,2031 NOV 15 03:54:09,2036 NOV 14 09:54:05,2037 NOV 14 15:54:04,2041 SEP 14 01:53:33
