rank,a1,a2,a3,dv,science,score,arch,duration,dv_launch,dv_flyby,dv_A1_arrive,dv_A1_leave,dv_A2_arrive,dv_A2_leave,dv_A3_arrive,date_launch,date_flyby,date_arrive_A1,date_leave_A1,date_arrive_A2,date_leave_A2,date_arrive_A3
1,AEGINA,BEATRIX,VESTA,10.7651,20.1312,10.1377,mars,7.5339,2.9199,0.0,2.8911,1.0653,1.0991,1.9312,0.8585,2033 APR 09 22:40:27,2034 JAN 07 16:14:55,2035 MAR 30 08:37:40,2035 JUN 29 16:07:40,2038 MAY 21 13:17:50,2039 FEB 16 15:06:06,2040 OCT 21 16:48:22
2,MASSALIA,PSYCHE,THEMIS,10.7319,19.9615,10.2465,moon,8.0145,0.4427,1.7025,3.8692,0.9131,1.2089,1.1552,1.4404,2034 JAN 24 11:07:50,2034 FEB 03 11:07:49,2035 JUL 10 07:04:25,2035 OCT 09 14:34:25,2039 JUL 06 11:15:49,2039 OCT 19 05:50:52,2042 JAN 29 18:03:12
3,MASSALIA,PSYCHE,CONCORDIA,10.0899,19.6848,10.2477,moon,7.9274,0.4426,1.7026,3.8691,0.913,1.2089,1.1578,0.7959,2034 JAN 24 11:05:22,2034 FEB 03 11:05:22,2035 JUL 10 06:05:52,2035 OCT 09 13:35:57,2039 JUL 06 11:56:10,2040 APR 27 09:41:42,2041 DEC 28 22:23:04
4,PERAGA,MASSALIA,PSYCHE,10.3733,19.6527,10.3551,moon,9.6363,0.4561,1.601,3.9328,0.9391,1.4034,0.9664,1.0745,2029 DEC 11 13:36:44,2029 DEC 21 13:36:44,2031 JUN 14 04:14:28,2031 NOV 02 21:08:09,2034 JUN 13 11:21:44,2035 JUN 13 17:21:44,2039 AUG 01 05:04:11
5,MASSALIA,FORTUNA,LYDIA,10.7607,19.8043,10.3652,moon,8.3762,0.4414,1.7319,3.8636,1.1452,0.917,1.1429,1.5188,2034 JAN 24 04:27:32,2034 FEB 03 04:27:32,2035 JUL 03 13:33:36,2035 OCT 02 21:03:38,2037 DEC 09 18:24:26,2038 AUG 29 00:16:03,2042 JUN 10 14:00:04
6,THEKLA,PROSERPINA,BEATRIX,11.2863,20.0212,10.3711,mars,10.7129,4.421,0.0,3.0685,1.9303,0.6814,0.6461,0.5389,2033 JUL 14 22:04:10,2034 SEP 08 09:13:02,2036 DEC 05 19:32:59,2037 SEP 25 15:36:20,2040 DEC 07 05:39:28,2041 MAR 08 13:09:30,2044 MAR 31 19:42:38
7,HERTHA,POLYXO,ALKESTE,9.4025,19.2091,10.3744,mars,9.1507,2.957,0.0,2.381,0.2215,2.6321,0.627,0.584,2031 JAN 22 22:13:52,2031 NOV 21 04:52:50,2033 OCT 22 03:23:49,2034 JAN 21 10:53:50,2036 DEC 12 04:04:42,2037 MAR 13 11:34:43,2040 MAR 18 05:04:21
8,URANIA,AEGINA,BEATRIX,10.4969,19.6726,10.3782,moon,7.5022,0.4673,2.0921,4.0583,0.9209,0.9614,0.7789,1.2181,2030 NOV 02 03:22:48,2030 NOV 12 03:22:48,2032 APR 05 01:56:51,2032 JUL 05 09:26:52,2034 NOV 06 22:47:52,2035 APR 07 18:27:58,2038 MAY 04 07:27:19
9,AEGINA,PROSERPINA,BEATRIX,10.4727,19.6192,10.4084,mars,10.8306,3.5285,0.0,3.476,1.0667,1.2432,0.665,0.4934,2033 MAY 16 22:54:19,2034 MAR 28 23:58:46,2036 AUG 22 18:59:38,2037 AUG 23 00:59:38,2040 JAN 28 02:58:50,2041 JAN 19 05:43:44,2044 MAR 15 20:04:00
10,URANIA,THEKLA,HERTHA,11.2909,19.9547,10.419,mars,10.8613,2.8494,0.0,2.4627,1.1487,1.6314,0.7632,2.4354,2033 APR 18 12:54:00,2034 JAN 16 07:12:40,2035 OCT 19 13:14:32,2036 JAN 18 20:44:32,2038 OCT 27 08:35:53,2039 OCT 27 14:35:45,2044 FEB 27 14:40:54
11,MASSALIA,CONCORDIA,PSYCHE,10.9882,19.6848,10.5171,moon,8.7616,0.4413,1.7329,3.8636,1.7926,1.2092,1.5011,0.4475,2034 JAN 24 04:14:15,2034 FEB 03 04:14:15,2035 JUL 03 09:02:01,2035 OCT 02 16:32:01,2038 OCT 16 11:25:36,2039 OCT 16 17:25:36,2042 OCT 29 08:45:18
12,VIRGINIA,PSYCHE,PARTHENOPE,9.5102,19.0399,10.5251,moon,9.4568,0.4519,2.5138,2.8563,1.3996,0.4475,0.7366,1.1045,2030 SEP 04 02:17:46,2030 SEP 14 02:17:46,2032 FEB 16 05:38:36,2032 MAY 17 13:08:36,2036 MAR 24 01:42:06,2036 AUG 03 17:50:46,2040 FEB 18 04:49:39
13,HERTHA,THEKLA,PROSERPINA,11.5443,19.9013,10.5324,moon,9.9433,0.466,2.0064,3.292,2.2841,1.1637,0.5638,1.7684,2027 AUG 07 13:30:10,2027 AUG 17 13:30:10,2029 MAR 20 02:14:06,2029 JUL 19 18:11:41,2033 MAR 08 13:34:33,2034 FEB 04 10:47:51,2037 JUL 17 08:38:35
14,FORTUNA,PARTHENOPE,PSYCHE,11.635,19.9007,10.56,moon,7.8113,0.4133,1.9174,3.9946,0.9767,2.2819,0.9237,1.1274,2032 SEP 10 10:24:59,2032 SEP 20 10:24:59,2034 FEB 02 05:44:14,2034 DEC 23 02:00:19,2037 MAR 14 22:49:24,2037 JUN 14 06:19:24,2040 JUL 03 12:29:33
15,CONCORDIA,PARTHENOPE,LYDIA,11.9714,20.0107,10.5839,mars,9.7167,2.8777,0.0,3.5204,0.8598,1.3477,2.3582,1.0076,2031 FEB 16 01:29:29,2031 DEC 28 07:39:26,2033 JUN 09 05:59:14,2034 JAN 18 19:02:39,2037 NOV 24 21:12:44,2038 FEB 27 09:51:16,2040 NOV 04 01:45:53
16,MASSALIA,PSYCHE,AEGINA,10.9382,19.5286,10.6114,moon,11.4278,0.4426,1.7026,3.8691,0.9131,1.2088,0.5855,2.2164,2034 JAN 24 11:05:20,2034 FEB 03 11:05:20,2035 JUL 10 06:03:21,2035 OCT 09 13:33:21,2039 JUL 06 10:16:25,2040 JUN 29 05:24:03,2045 JUN 29 11:24:03
17,HERTHA,THEKLA,PARTHENOPE,12.2899,20.1076,10.6117,moon,8.9925,0.466,2.0064,3.292,2.2802,1.168,1.8967,1.1806,2027 AUG 07 13:30:29,2027 AUG 17 13:30:29,2029 MAR 20 02:31:46,2029 JUL 19 17:14:34,2033 MAR 03 03:44:15,2033 JUN 02 11:14:15,2036 AUG 04 01:33:28
18,AEGINA,URANIA,BEATRIX,11.2882,19.6726,10.6156,mars,9.2063,3.4355,0.0,2.6565,0.8355,0.931,1.6235,1.8062,2029 MAR 13 14:11:12,2030 APR 16 20:44:01,2031 NOV 30 21:24:58,2032 MAR 01 04:54:59,2034 SEP 24 06:19:26,2034 DEC 24 13:49:56,2038 MAY 28 04:54:59
19,FORTUNA,HARMONIA,LYDIA,11.7316,19.8355,10.6347,moon,7.7597,0.4607,2.0115,3.9964,1.285,1.8611,1.1559,0.961,2029 NOV 14 06:38:27,2029 NOV 24 06:38:27,2031 MAY 06 14:08:26,2032 MAY 05 20:08:26,2034 JUL 15 09:37:33,2035 MAY 08 14:45:14,2037 AUG 18 12:17:20
20,HERTHA,ALKESTE,POLYXO,10.3022,19.2091,10.6443,moon,8.2772,0.4164,1.8294,3.1737,1.8365,1.9721,0.4681,0.6061,2031 AUG 22 08:00:57,2031 SEP 01 08:00:57,2033 FEB 16 06:05:45,2033 MAY 18 13:35:45,2036 FEB 21 17:14:35,2036 DEC 22 17:54:00,2039 DEC 01 13:43:36
21,URANIA,AGLAJA,BEATRIX,11.2426,19.5998,10.6529,moon,5.5283,0.4122,1.1958,4.6257,0.8892,1.6998,0.6369,1.783,2028 JAN 03 18:39:27,2028 JAN 13 18:39:27,2029 MAR 31 21:48:32,2029 JUL 01 05:18:42,2032 APR 12 17:48:49,2032 JUL 13 01:21:11,2033 JUL 14 23:40:17
22,MASSALIA,PERAGA,LYDIA,11.7516,19.7675,10.6882,moon,8.1825,0.4421,1.7133,3.8658,0.9331,1.7111,2.608,0.4783,2034 JAN 24 08:32:50,2034 FEB 03 08:32:49,2035 JUL 07 13:02:17,2035 OCT 06 20:32:19,2038 MAR 10 18:59:30,2038 JUN 10 02:29:35,2042 APR 01 00:03:19
23,MASSALIA,FORTUNA,PSYCHE,11.606,19.6895,10.6991,moon,6.9058,0.4147,1.3107,5.0889,1.5939,0.8348,0.9711,1.3918,2032 OCT 07 14:45:34,2032 OCT 17 14:45:34,2033 NOV 17 11:07:18,2034 NOV 17 17:07:16,2037 NOV 03 12:15:33,2038 FEB 02 19:45:38,2039 SEP 03 23:04:56
24,LUTETIA,HARMONIA,THEKLA,12.2482,19.9529,10.7074,moon,7.7875,0.4393,2.1955,4.2475,0.9801,0.9425,1.6229,1.8203,2035 SEP 08 17:20:40,2035 SEP 18 17:20:40,2037 MAY 07 04:53:48,2038 APR 24 06:56:00,2040 SEP 05 09:02:55,2041 FEB 16 05:39:24,2043 JUN 23 02:23:04
25,PSYCHE,ALKESTE,POLYXO,10.6039,19.2433,10.7109,mars,12.2338,3.438,0.0,3.4178,1.138,1.663,0.4716,0.4756,2031 APR 23 12:50:12,2032 APR 21 11:52:02,2034 MAY 28 16:44:58,2035 MAY 28 22:44:51,2038 AUG 20 05:40:02,2039 AUG 20 11:39:38,2043 JUL 17 22:23:31
26,HERTHA,ALKESTE,CONCORDIA,11.2586,19.5201,10.7135,moon,8.3606,0.4164,1.8277,3.1812,1.8061,2.0128,1.2614,0.753,2031 AUG 22 07:56:16,2031 SEP 01 07:56:16,2033 FEB 13 23:54:14,2033 MAY 16 07:24:14,2036 JAN 19 22:51:37,2036 APR 20 06:21:37,2040 JAN 01 01:23:04
27,PSYCHE,CONCORDIA,ALKESTE,11.3435,19.5543,10.7151,moon,8.4842,0.4335,2.2711,4.3728,0.7761,1.2212,1.0461,1.2227,2030 AUG 31 08:03:32,2030 SEP 10 08:03:32,2031 DEC 31 04:38:56,2032 MAR 31 12:09:09,2035 NOV 26 14:29:51,2036 APR 01 09:29:02,2039 FEB 24 04:14:27
