# PARTHENOPE -> PSYCHE -> THEMIS LT-chain trajectory
# Frame: heliocentric ECLIPJ2000, units km / km/s / kg
# Time system: SPICE ET (TDB seconds past J2000)
et_seconds_past_J2000,utc_iso,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,mass_kg
933239262.861304,2029-07-28T21:06:33.677951,88531296.891050,-123423717.887977,7429.934038,29.845948021,19.170844853,-2.777647947,1500.0000
933634064.090978,2029-08-02T10:46:34.907741,100043249.947034,-115500275.764351,-1088140.993631,28.447526894,20.943146349,-2.769656612,1500.0000
934028865.320652,2029-08-07T00:26:36.137527,110976062.655795,-106907768.073485,-2177433.184933,26.916420712,22.557505675,-2.745990702,1500.0000
934423666.550326,2029-08-11T14:06:37.367307,121282570.073912,-97711393.728452,-3254460.640235,25.279323162,24.000478598,-2.707735254,1500.0000
934818467.780000,2029-08-16T03:46:38.597082,130926348.299119,-87980523.949421,-4313730.558995,23.563708869,25.264358294,-2.656287478,1500.0000
935213269.009674,2029-08-20T17:26:39.826850,139881744.902898,-77786482.029332,-5350346.834418,21.796458141,26.346881997,-2.593255750,1500.0000
935608070.239348,2029-08-25T07:06:41.056611,148133411.728755,-67200509.613391,-6360073.324750,20.002726806,27.250598929,-2.520358731,1500.0000
936002871.469022,2029-08-29T20:46:42.286364,155675451.420836,-56292029.093102,-7339358.980189,18.205125630,27.982023657,-2.439334380,1500.0000
936397672.698696,2029-09-03T10:26:43.516110,162510303.690064,-45127262.065296,-8285330.108015,16.423220390,28.550698326,-2.351865218,1500.0000
936792473.928370,2029-09-08T00:06:44.745847,168647493.057054,-33768218.516276,-9195756.858360,14.673322459,28.968267350,-2.259522672,1500.0000
937187275.158044,2029-09-12T13:46:45.975575,174102342.450541,-22272036.158377,-10069001.519021,12.968514863,29.247638615,-2.163730361,1500.0000
937582076.387718,2029-09-17T03:26:47.205294,178783934.017800,-10865048.831826,-10889898.130565,11.037649448,28.961079910,-2.030126719,1474.3314
937976877.617392,2029-09-21T17:06:48.435003,182825673.093806,581254.817963,-11671840.483566,9.447693752,29.006822881,-1.930949477,1474.3314
938371678.847066,2029-09-26T06:46:49.664702,186252444.198534,12026003.034046,-12414540.758464,7.922935260,28.955226154,-1.831464642,1474.3314
938766480.076740,2029-09-30T20:26:50.894392,189090603.081464,23433115.195338,-13118024.389655,6.466218330,28.818058381,-1.732392661,1474.3314
939161281.306414,2029-10-05T10:06:52.124071,191367323.717190,34770992.235580,-13782574.286072,5.078896479,28.606235190,-1.634319931,1474.3314
939556082.536088,2029-10-09T23:46:53.353740,193110070.179055,46012162.322933,-14408680.955889,3.761132951,28.329740933,-1.537714360,1474.3314
939950883.765762,2029-10-14T13:26:54.583398,194346180.083185,57132907.071686,-14996998.845698,2.512164674,27.997605451,-1.442941116,1474.3314
940345684.995436,2029-10-19T03:06:55.813047,195102544.643085,68112886.795696,-15548308.789454,1.330527705,27.617920067,-1.350277719,1474.3314
940740486.225110,2029-10-23T16:46:57.042685,195405370.281727,78934777.660721,-16063486.197518,0.214245334,27.197879977,-1.259927964,1474.3314
941135287.454784,2029-10-28T06:26:58.272314,195280007.628846,89583929.089429,-16543474.465882,-0.839018051,26.743843007,-1.172034416,1474.3314
941530088.684458,2029-11-01T20:06:59.501933,194750835.147203,100048046.329394,-16989263.018061,-1.831833380,26.261397263,-1.086689380,1474.3314
941924889.914132,2029-11-06T09:47:00.731542,193841186.276154,110316900.560118,-17401869.380756,-2.766909326,25.755432243,-1.003944375,1474.3314
942319691.143806,2029-11-10T23:27:01.961143,192573310.653299,120382067.121808,-17782324.718773,-3.647016574,25.230209677,-0.923818206,1474.3314
942714492.373479,2029-11-15T13:07:03.190735,190968361.554966,130236691.235327,-18131662.299675,-4.474930132,24.689431630,-0.846303755,1474.3314
943109293.603153,2029-11-20T02:47:04.420319,189046403.119558,139875279.808499,-18450908.413876,-5.253386277,24.136304363,-0.771373652,1474.3314
943504094.832827,2029-11-24T16:27:05.649896,186826432.158193,149293517.471839,-18741075.334135,-5.985051268,23.573597124,-0.698984962,1474.3314
943898896.062501,2029-11-29T06:07:06.879466,184326410.411694,158488104.764081,-19003155.955403,-6.672499345,23.003695538,-0.629083035,1474.3314
944293697.292175,2029-12-03T19:47:08.109029,181563303.992933,167456616.323140,-19238119.809056,-7.318198023,22.428649578,-0.561604635,1474.3314
944688498.521849,2029-12-08T09:27:09.338587,178553127.476573,176197376.977819,-19446910.193397,-7.924499009,21.850216324,-0.496480482,1474.3314
945083299.751523,2029-12-12T23:07:10.568141,175310990.685106,184709353.740783,-19630442.204549,-8.493633427,21.269897821,-0.433637292,1474.3314
945478100.981197,2029-12-17T12:47:11.797690,171809680.273531,192872571.700268,-19781354.709096,-9.132936985,20.386174042,-0.352092162,1458.8484
945872902.210871,2029-12-22T02:27:13.027236,168103881.956208,200806333.051530,-19908728.039859,-9.634776521,19.805080681,-0.293500434,1458.8484
946267703.440545,2029-12-26T16:07:14.256780,164206081.726784,208510836.478167,-20013366.747251,-10.105877776,19.224927762,-0.236910041,1458.8484
946662504.670219,2029-12-31T05:47:15.486322,160128079.034841,215986607.774640,-20096046.629367,-10.547925279,18.646476656,-0.182248546,1458.8484
