# PARTHENOPE -> PSYCHE -> THEMIS LT-chain trajectory
# Frame: heliocentric ECLIPJ2000, units km / km/s / kg
# Time system: SPICE ET (TDB seconds past J2000)
et_seconds_past_J2000,utc_iso,x_km,y_km,z_km,vx_kms,vy_kms,vz_kms,mass_kg
933267465.043203,2029-07-29T04:56:35.859859,89198834.728843,-122935645.603951,7383.214823,29.815573998,19.225341567,-2.687134143,1500.0000
933661383.951213,2029-08-02T18:21:54.767985,100671848.230661,-115010740.097684,-1050123.765196,28.411232254,20.985787904,-2.679444989,1500.0000
934055302.859224,2029-08-07T07:47:13.676106,111565178.122196,-106423127.074602,-2101604.415966,26.876732948,22.587414640,-2.656685847,1500.0000
934449221.767234,2029-08-11T21:12:32.584222,121832768.475691,-97238086.039895,-3141321.307011,25.238783509,24.017380034,-2.619923207,1500.0000
934843140.675244,2029-08-16T10:37:51.492332,131439255.587834,-87524829.303099,-4164017.853918,23.524722944,25.268535861,-2.570516197,1500.0000
935237059.583255,2029-08-21T00:03:10.400436,140359945.166456,-77354312.038915,-5165014.568784,21.761177141,26.339095617,-2.510019263,1500.0000
935630978.491265,2029-08-25T13:28:29.308532,148580306.727310,-66797240.618674,-6140266.839507,19.972966681,27.231979334,-2.440085918,1500.0000
936024897.399275,2029-08-30T02:53:48.216622,156095097.889479,-55922382.451253,-7086386.550434,18.182324978,27.953959036,-2.362382658,1500.0000
936418816.307285,2029-09-03T16:19:07.124703,162907243.504121,-44795231.604955,-8000632.791976,16.408432633,28.514725702,-2.278518777,1500.0000
936812735.215296,2029-09-08T05:44:26.032776,169026588.673294,-33477040.608162,-8880878.502395,14.667234857,28.925977415,-2.189994502,1500.0000
937206654.123306,2029-09-12T19:09:44.940839,174468626.607367,-22024195.255889,-9725560.270542,12.971485894,29.200598781,-2.098167126,1500.0000
937600573.031316,2029-09-17T08:35:03.848894,179141798.895420,-10662519.055449,-10520864.604189,11.047399580,28.909252729,-1.971844156,1474.2184
937994491.939327,2029-09-21T22:00:22.756939,183180123.504591,737368.635962,-11278903.839629,9.466427595,28.953080676,-1.876745326,1474.2184
938388410.847337,2029-09-26T11:25:41.664974,186608334.831923,12135194.375739,-11999394.352591,7.950330817,28.900785497,-1.781328090,1474.2184
938782329.755347,2029-10-01T00:51:00.572999,189452576.278474,23495408.489431,-12682350.397835,6.501825342,28.763988311,-1.686279213,1474.2184
939176248.663357,2029-10-05T14:16:19.481014,191739764.800373,34786874.400592,-13328031.195572,5.122174449,28.553456776,-1.592158075,1474.2184
939570167.571368,2029-10-10T03:41:38.389019,193497077.755375,45982516.206056,-13936893.657523,3.811483119,28.279032919,-1.499411528,1474.2184
