Name_DecRadius,Class_Composition_SMASSII,Mass_kg,Radius_km,SMA_AU,Eccentricity,Inclination_deg,RotPeriod_hr,SciScore_A_Characterisation,SciScore_B_Interest,SciScore_Combined,SciFlags_Applied,SciPotential_Score_1to10,DeltaV_Score,Total_WeightedScore,Sub_Mass_Score,Sub_Radius_Score,Sub_Ecc_Score,Sub_Inc_Score,Sub_SMA_Score,Sub_RotPer_Score
24 Themis  (r=99.0km),B — Primitive blue (possible organics/ice) [SMASSII],5.69013052567964e+18,99.0,3.143254185,0.115343007,0.736699519,8.374,8,3,5.0,surface-ice(+3),9.98,0,5.2258,5,5,6.33,9.89,2.31,5.62
586 Thekla  (r=47.6km),Ch — Primitive carbonaceous [SMASSII],6.3252625902058e+17,47.6015,3.040349606,0.06546072,1.627925522,13.67,9,2,4.8,aqueous-alteration(+3),9.41,0,5.1447,4,4,8.69,9.69,3.91,8.24
19 Fortuna  (r=100.0km),Ch — Primitive carbonaceous [SMASSII],5.86430628670095e+18,100.0,2.442063444,0.158036184,1.573309761,7.4432,8,2,4.4,aqueous-alteration(+3),8.67,0,5.0009,5,5,4.6,9.76,9.04,4.49
554 Peraga  (r=47.9km),Ch — Primitive carbonaceous [SMASSII],6.45914211563802e+17,47.935,2.375173895,0.152849824,2.935883674,13.7128,9,2,4.8,aqueous-alteration(+3),9.41,0,4.9064,4,4,4.78,9.13,9.51,8.13
1 Ceres  (r=469.7km),C — Primitive carbonaceous [SMASSII],6.07684732893425e+20,469.7,2.765615652,0.07957632,10.58788658,9.07417,9,0,3.6,orbit-visited(-3),6.68,0,4.9038,10,10,7.98,3.53,6.07,6.56
91 Aegina  (r=51.7km),Ch — Primitive carbonaceous [SMASSII],8.10426203951578e+17,51.701,2.590333357,0.108182769,2.102439956,6.025,9,2,4.8,aqueous-alteration(+3),9.41,0,4.8802,4,4,6.73,9.53,8.42,3.09
58 Concordia  (r=53.3km),Ch — Primitive carbonaceous [SMASSII],8.85897419655626e+17,53.2585,2.699846364,0.045696809,5.072163969,9.895,9,2,4.8,aqueous-alteration(+3),9.41,0,4.8496,4,4,9.42,7.84,7.09,7.4
4 Vesta  (r=261.4km),V — Basaltic achondrite (differentiated crust) [SMASSII],2.0197348411274e+20,261.385,2.36154128,0.090167645,7.1440606,5.342127632,9,0,3.6,orbit-visited(-3),6.68,0,4.8336,8,8,7.47,6.2,9.64,2.44
48 Doris  (r=108.2km),Ch — Primitive carbonaceous [SMASSII],7.43597405187208e+18,108.2365,3.112870762,0.066263528,6.557769141,11.89,9,2,4.8,aqueous-alteration(+3),9.41,0,4.8184,5,5,8.58,6.64,3.13,9.87
90 Antiope  (r=58.0km),C — Primitive carbonaceous [SMASSII],1.14342732711611e+18,57.987,3.141267866,0.172446553,2.205400175,16.509,9,3,5.4,surface-ice(+3),10.0,0,4.7764,4,4,3.89,9.44,2.44,6.13
211 Isolda  (r=70.6km),Ch — Primitive carbonaceous [SMASSII],2.06033823833093e+18,70.5625,3.047970718,0.15457111,3.87368625,18.365,9,2,4.8,aqueous-alteration(+3),9.41,0,4.7762,5,5,4.73,8.51,3.84,4.89
62 Erato  (r=53.5km),Ch — Primitive carbonaceous [SMASSII],8.96015853361981e+17,53.4605,3.129557891,0.167973531,2.236946111,9.2213,9,2,4.8,aqueous-alteration(+3),9.41,0,4.7433,4,4,4.22,9.42,2.76,6.82
47 Aglaja  (r=84.1km),B — Primitive blue (possible organics/ice) [SMASSII],3.48660878300839e+18,84.087,2.881138964,0.133314138,4.969777119,13.178,9,1,4.2,B-type(+1),8.38,0,4.74,5,5,5.53,7.93,5.09,8.67
34 Circe  (r=66.5km),Ch — Primitive carbonaceous [SMASSII],1.72426181125493e+18,66.496,2.687939082,0.106784,5.4958795,12.15,9,2,4.8,aqueous-alteration(+3),9.41,0,4.7296,4,4,6.78,7.56,7.16,9.78
144 Vibilia  (r=71.2km),Ch — Primitive carbonaceous [SMASSII],2.11579518176805e+18,71.19,2.653452344,0.235600232,4.816044481,13.819,9,2,4.8,aqueous-alteration(+3),9.41,0,4.7176,5,5,1.78,8.09,7.73,8.02
