Rank,Asteroid_1,Asteroid_2,Asteroid_3,Total_dV_km_s,Launch_dV_km_s
1,PERAGA,FORTUNA,THEKLA,13.44,6.09
2,PERAGA,FORTUNA,MASSALIA,13.75,6.09
3,HERTHA,LUTETIA,ERATO,13.91,6.64
4,PERAGA,MASSALIA,FORTUNA,14.12,6.09
5,HERTHA,LUTETIA,POLYXO,14.17,6.63
6,HERTHA,LUTETIA,KLYMENE,14.30,6.74
7,HERTHA,LUTETIA,THEMIS,14.36,6.63
8,MASSALIA,PERAGA,FORTUNA,14.37,5.37
9,URANIA,AEGINA,KLYMENE,14.38,6.22
10,PERAGA,FORTUNA,PARTHENOPE,14.56,6.09
11,PERAGA,PALES,ERATO,14.56,6.08
12,MASSALIA,FORTUNA,PSYCHE,14.61,6.35
13,FORTUNA,THEKLA,ERATO,14.78,6.71
14,URANIA,ATE,ISOLDA,14.78,5.74
15,MASSALIA,FORTUNA,THEKLA,16.21,5.30
